,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
MRO,MRO,-0.15719090366658595,0.015229714874164347,sensitivity_hit,1.8173082273098013,0.0847716503528897,0.047642655765062145,target_non_hit,1.3220040374502944
MRPL27,MRPL27,0.3052616121506757,0.0340930579094455,resistance_hit,1.4673340438389029,-0.23316926812982341,0.2805309438288337,target_non_hit,0.5520192271247265
MRPL9,MRPL9,-0.26903723894697656,0.09639767789183176,sensitivity_hit,1.015933427621135,-0.09189745182124535,0.8526276828906221,target_non_hit,0.06924057090133551
MRPS12,MRPS12,0.22681905576189987,0.00499540117906916,resistance_hit,2.301429627986621,-0.3127277101432484,0.31105588026672576,target_non_hit,0.5071615842481643
MRPS31,MRPS31,0.3192383386691103,0.11580669039916339,resistance_hit,0.9362663497665678,-0.19210856872549856,0.13159473033712105,target_non_hit,0.880761501537656
MSI2,MSI2,0.3289181973848437,0.07061707020622224,resistance_hit,1.1510903046101526,-0.06527626466080842,0.4312559056054169,target_non_hit,0.36526494466235915
MSMP,MSMP,-0.1767295197757456,0.02013139473161552,sensitivity_hit,1.696126135530563,0.14630514233273928,0.03162131767520508,target_non_hit,1.5000200367710712
MSRA,MSRA,-0.16473683306014042,0.015557400525077689,sensitivity_hit,1.808062967238749,-0.1168492354446468,0.5477689123542473,target_non_hit,0.2614026189899007
MSS51,MSS51,-0.24667507236776606,0.031944144846411136,sensitivity_hit,1.4956087335595722,0.12363958434010236,0.02370752879301694,target_non_hit,1.6251137133136626
MTA2,MTA2,-0.2715078721731832,0.08456041439610333,sensitivity_hit,1.0728328973952845,-0.11264913385035413,0.3797971584718992,target_non_hit,0.42044828884752883
MTMR14,MTMR14,0.40309741756782014,0.0821415875012812,resistance_hit,1.0854369080518311,-0.10281855254530736,0.7314459756097805,target_non_hit,0.13581774522015463
MTNR1B,MTNR1B,0.15158009453064145,0.009275728400836299,resistance_hit,2.032651976263562,-0.06398223413275013,0.38604239900458137,target_non_hit,0.4133649941818569
