	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
TBC1D29_+_28886820.23-ENST00000579181.1|TBC1D29_-_28887003.23-ENST00000579181.1++TBC1D29_+_28886820.23-ENST00000579181.1|TBC1D29_-_28887003.23-ENST00000579181.1	TBC1D29	1413	1994	1504	1516	2413	1700	1776	2732	2411	2419	2879	3366	5123	1334	1203	1325
PFKM_-_48516460.23-P2|PFKM_+_48516482.23-P2++PFKM_-_48516460.23-P2|PFKM_+_48516482.23-P2	PFKM	1280	1418	1121	1430	1660	2340	2139	2154	2271	2186	1998	2452	5390	1236	1355	1204
non-targeting_02684|non-targeting_03653++non-targeting_02684|non-targeting_03653	non-targeting	952	1371	1134	1249	1682	1525	1337	1895	1538	2100	2028	2427	4468	954	903	997
ANK3_+_62149513.23-P1P2|ANK3_+_62149538.23-P1P2++ANK3_+_62149513.23-P1P2|ANK3_+_62149538.23-P1P2	ANK3	550	363	458	537	457	723	775	880	755	793	708	988	1335	439	363	345
RRP9_+_51975867.23-P1P2|RRP9_+_51975876.23-P1P2++RRP9_+_51975867.23-P1P2|RRP9_+_51975876.23-P1P2	RRP9	591	15	370	316	26	461	70	44	15	12	6	1	278	205	343	700
non-targeting_01188|non-targeting_03030++non-targeting_01188|non-targeting_03030	non-targeting	906	1043	1224	905	1272	1344	2304	1324	1381	1687	1798	2004	3339	887	1137	1024
CHST14_+_40763266.23-P1P2|CHST14_+_40763251.23-P1P2++CHST14_+_40763266.23-P1P2|CHST14_+_40763251.23-P1P2	CHST14	899	1452	659	765	1622	736	1211	934	1996	1614	1944	1488	1761	801	437	560
UBL7_-_74753458.23-P1|UBL7_+_74753470.23-P1++UBL7_-_74753458.23-P1|UBL7_+_74753470.23-P1	UBL7	1280	1362	848	1418	1217	1526	939	1708	1513	1804	1218	1800	2859	950	1040	1324
DBH_+_136501500.23-P1P2|DBH_+_136501496.23-P1P2++DBH_+_136501500.23-P1P2|DBH_+_136501496.23-P1P2	DBH	1695	2334	1974	1773	2352	1941	1732	2111	3033	2728	2101	2995	5098	1217	1254	1173
CCDC120_-_48916670.23-P1|CCDC120_+_48916543.23-P1++CCDC120_-_48916670.23-P1|CCDC120_+_48916543.23-P1	CCDC120	1550	1409	1760	2074	1786	1664	1644	1734	1729	1672	1792	2020	4352	1265	1576	1793
COPZ2_+_46115147.23-P1P2|COPZ2_+_46115130.23-P1P2++COPZ2_+_46115147.23-P1P2|COPZ2_+_46115130.23-P1P2	COPZ2	1780	2691	1795	2287	2395	2041	2238	2746	3242	3071	2754	3080	4470	1298	1548	1610
LPL_+_19796807.23-P1P2|LPL_-_19796954.23-P1P2++LPL_+_19796807.23-P1P2|LPL_-_19796954.23-P1P2	LPL	1742	2242	1882	1395	2580	2312	2610	2028	3126	2737	3045	2999	5279	1393	1657	1407
PDZRN4_-_41582535.23-P1P2|PDZRN4_-_41582551.23-P1P2++PDZRN4_-_41582535.23-P1P2|PDZRN4_-_41582551.23-P1P2	PDZRN4	2642	3284	2889	2881	4194	3150	3335	4103	4792	4524	5169	5262	8255	1903	2347	1808
N4BP2_+_40058809.23-P1P2|N4BP2_-_40058571.23-P1P2++N4BP2_+_40058809.23-P1P2|N4BP2_-_40058571.23-P1P2	N4BP2	1809	1945	1770	2534	2304	2074	2604	2957	2599	2896	2971	3276	4285	1629	1802	1939
MDH1_+_63816088.23-P1P2|MDH1_+_63816094.23-P1P2++MDH1_+_63816088.23-P1P2|MDH1_+_63816094.23-P1P2	MDH1	804	1255	961	980	1299	1195	1558	1081	1711	1652	1426	1899	3162	756	849	1013
SNX32_-_65601470.23-P1P2|SNX32_-_65601482.23-P1P2++SNX32_-_65601470.23-P1P2|SNX32_-_65601482.23-P1P2	SNX32	1548	2043	1879	1849	1910	2119	2301	2307	2656	2352	3267	2873	3639	1104	1282	1650
FAM227B_-_49912974.23-P1P2|FAM227B_-_49912966.23-P1P2++FAM227B_-_49912974.23-P1P2|FAM227B_-_49912966.23-P1P2	FAM227B	1013	1083	1060	1249	1823	1275	1773	1659	1811	2126	2319	1669	3535	731	901	932
GSTA4_-_52858967.23-P2|GSTA4_-_52859013.23-P2++GSTA4_-_52858967.23-P2|GSTA4_-_52859013.23-P2	GSTA4	1052	1016	974	1109	1464	1434	1811	1399	1213	1342	1459	2039	3046	836	915	906
MAP3K11_+_65381712.23-P1|MAP3K11_+_65381663.23-P1++MAP3K11_+_65381712.23-P1|MAP3K11_+_65381663.23-P1	MAP3K11	863	538	577	823	823	862	716	734	953	853	1116	1471	2098	516	513	658
ERC1_-_1100417.23-P1P2|ERC1_+_1100545.23-P1P2++ERC1_-_1100417.23-P1P2|ERC1_+_1100545.23-P1P2	ERC1	2207	2651	2657	2028	3699	2959	3782	3291	4169	3640	3462	4689	8266	1876	2046	1813
RPS17_-_82824897.23-ENST00000330339.7|RPS17_+_82824718.23-ENST00000330339.7++RPS17_-_82824897.23-ENST00000330339.7|RPS17_+_82824718.23-ENST00000330339.7	RPS17	204	27	38	153	20	176	49	10	12	20	12	1	61	379	277	339
PIWIL3_+_25170461.23-ENST00000332271.5|PIWIL3_+_25170358.23-ENST00000332271.5++PIWIL3_+_25170461.23-ENST00000332271.5|PIWIL3_+_25170358.23-ENST00000332271.5	PIWIL3	1169	1035	1033	1283	1696	1288	1681	2037	1866	2119	1497	2032	4340	981	847	715
PLA2G4C_+_48614026.23-P1P2|PLA2G4C_+_48614030.23-P1P2++PLA2G4C_+_48614026.23-P1P2|PLA2G4C_+_48614030.23-P1P2	PLA2G4C	702	503	739	755	668	745	815	957	859	944	863	758	2796	388	475	726
SSTR1_+_38678346.23-P1P2|SSTR1_+_38678351.23-P1P2++SSTR1_+_38678346.23-P1P2|SSTR1_+_38678351.23-P1P2	SSTR1	2105	2858	2874	2671	2973	3149	3229	3164	2704	3402	3371	3201	7882	1602	2425	2195
FAM105A_+_14581952.23-P1P2|FAM105A_-_14581921.23-P1P2++FAM105A_+_14581952.23-P1P2|FAM105A_-_14581921.23-P1P2	FAM105A	1741	1948	1371	1510	2030	2168	2067	1727	2176	2409	2597	2798	5031	1624	1165	1725
LGSN_-_64029830.23-P1P2|LGSN_+_64029689.23-P1P2++LGSN_-_64029830.23-P1P2|LGSN_+_64029689.23-P1P2	LGSN	610	666	460	491	671	753	785	555	976	949	894	644	1709	453	432	481
HSD17B4_+_118788621.23-P1P2|HSD17B4_-_118788230.23-P1P2++HSD17B4_+_118788621.23-P1P2|HSD17B4_-_118788230.23-P1P2	HSD17B4	1451	1216	1418	1328	1691	1895	1286	1447	1672	1452	1902	1982	3854	1231	1610	1694
TLDC2_+_35504588.23-P1P2|TLDC2_+_35504585.23-P1P2++TLDC2_+_35504588.23-P1P2|TLDC2_+_35504585.23-P1P2	TLDC2	1440	1783	1900	1479	2440	1772	1520	2087	1853	2079	2420	2271	4556	1024	1161	1607
ADAMTS2_-_178772408.23-P1P2|ADAMTS2_-_178772444.23-P1P2++ADAMTS2_-_178772408.23-P1P2|ADAMTS2_-_178772444.23-P1P2	ADAMTS2	1250	2230	1875	1643	1814	1861	1978	1608	2544	2784	2190	2094	3542	1171	1179	1516
KREMEN2_-_3014287.23-P1P2|KREMEN2_-_3014298.23-P1P2++KREMEN2_-_3014287.23-P1P2|KREMEN2_-_3014298.23-P1P2	KREMEN2	1405	1850	1878	1800	2328	1787	2208	2510	2173	2463	2658	2720	4323	917	1140	1544
SHC4_-_49255528.23-ENST00000332408.4|SHC4_+_49255456.23-ENST00000332408.4++SHC4_-_49255528.23-ENST00000332408.4|SHC4_+_49255456.23-ENST00000332408.4	SHC4	399	447	241	233	476	508	375	500	1086	539	761	559	639	385	318	313
SNIP1_+_38019681.23-P1P2|SNIP1_+_38019797.23-P1P2++SNIP1_+_38019681.23-P1P2|SNIP1_+_38019797.23-P1P2	SNIP1	164	3	126	183	5	55	72	38	13	0	1	1	48	207	531	320
IAH1_+_9614729.23-P1P2|IAH1_-_9614937.23-P1P2++IAH1_+_9614729.23-P1P2|IAH1_-_9614937.23-P1P2	IAH1	1033	1009	778	825	1241	900	808	906	1023	1129	1432	1265	2075	899	825	835
DNAAF2_+_50100314.23-P1P2|DNAAF2_-_50100999.23-P1P2++DNAAF2_+_50100314.23-P1P2|DNAAF2_-_50100999.23-P1P2	DNAAF2	1469	1451	1133	1132	1716	1427	1598	1682	2444	2149	2481	2139	3149	1302	1418	1633
TMEM59L_+_18723865.23-P1P2|TMEM59L_+_18723748.23-P1P2++TMEM59L_+_18723865.23-P1P2|TMEM59L_+_18723748.23-P1P2	TMEM59L	1745	2345	1965	2411	2624	2227	2718	2430	2996	2847	3545	3969	5670	1945	1642	1799
non-targeting_02573|non-targeting_00654++non-targeting_02573|non-targeting_00654	non-targeting	1195	1397	1065	1049	1359	1691	2080	1523	1737	2457	1851	2374	4591	961	1175	911
PEBP4_-_22785363.23-P1P2|PEBP4_-_22785351.23-P1P2++PEBP4_-_22785363.23-P1P2|PEBP4_-_22785351.23-P1P2	PEBP4	535	54	134	76	73	219	145	49	95	67	49	102	127	713	478	380
CD200_+_112052020.23-P1P2|CD200_-_112052204.23-P1P2++CD200_+_112052020.23-P1P2|CD200_-_112052204.23-P1P2	CD200	1753	2118	1650	1644	1859	1888	1926	1934	1946	2229	2623	2894	3878	1086	1615	1267
P2RY8_+_1656033.23-P1P2|P2RY8_-_1656029.23-P1P2++P2RY8_+_1656033.23-P1P2|P2RY8_-_1656029.23-P1P2	P2RY8	822	1417	1315	1521	1984	1698	1766	2051	2397	1840	1759	2464	3850	1137	1076	1016
CLMP_+_123065912.23-P1P2|CLMP_-_123065906.23-P1P2++CLMP_+_123065912.23-P1P2|CLMP_-_123065906.23-P1P2	CLMP	628	596	376	520	695	654	854	635	816	840	892	925	1812	394	568	588
MRPL19_+_75874011.23-P1P2|MRPL19_-_75874385.23-P1P2++MRPL19_+_75874011.23-P1P2|MRPL19_-_75874385.23-P1P2	MRPL19	1333	114	703	701	116	815	285	217	121	59	57	61	575	1025	1400	1517
OR5J2_+_55944199.23-ENST00000312298.1|OR5J2_+_55944185.23-ENST00000312298.1++OR5J2_+_55944199.23-ENST00000312298.1|OR5J2_+_55944185.23-ENST00000312298.1	OR5J2	964	1024	758	1027	1268	1160	1918	1381	1845	1861	1922	1943	3863	876	866	798
APOC1_-_45417829.23-P1P2|APOC1_-_45417876.23-P1P2++APOC1_-_45417829.23-P1P2|APOC1_-_45417876.23-P1P2	APOC1	2202	2358	2745	2425	2650	2802	2735	2895	3112	2379	3094	3002	4506	2337	2741	2066
FOXD4_+_118156.23-ENST00000382500.2|FOXD4_-_118168.23-ENST00000382500.2++FOXD4_+_118156.23-ENST00000382500.2|FOXD4_-_118168.23-ENST00000382500.2	FOXD4	1033	1827	1665	2157	2087	1582	2432	2059	2160	2562	2419	2055	4755	997	1046	1186
MYH13_+_10276294.23-P1P2|MYH13_-_10276263.23-P1P2++MYH13_+_10276294.23-P1P2|MYH13_-_10276263.23-P1P2	MYH13	621	503	617	665	662	543	756	1142	669	902	898	1106	2278	525	412	544
ELOVL1_-_43833593.23-P1P2|ELOVL1_-_43833608.23-P1P2++ELOVL1_-_43833593.23-P1P2|ELOVL1_-_43833608.23-P1P2	ELOVL1	1538	2591	2093	2203	3182	2888	2138	2988	2679	2858	3680	3286	6230	1463	1835	1841
PLEKHB2_-_131862940.23-P1P2|PLEKHB2_+_131862935.23-P1P2++PLEKHB2_-_131862940.23-P1P2|PLEKHB2_+_131862935.23-P1P2	PLEKHB2	1058	1337	1257	1622	2035	1259	1769	1341	1936	2432	1705	2327	3507	1124	921	1139
SPACA5B_+_47990064.23-ENST00000304270.5|SPACA5B_-_47990082.23-ENST00000304270.5++SPACA5B_+_47990064.23-ENST00000304270.5|SPACA5B_-_47990082.23-ENST00000304270.5	SPACA5B	1065	1365	1106	1434	1438	1409	1386	1332	1266	1717	2140	1421	4295	864	1220	1241
TBC1D24_-_2525175.23-P1P2|TBC1D24_-_2525142.23-P1P2++TBC1D24_-_2525175.23-P1P2|TBC1D24_-_2525142.23-P1P2	TBC1D24	1222	689	1212	504	616	707	1258	652	1927	1688	458	1182	2851	419	1029	641
MLC1_+_50523799.23-P1P2|MLC1_+_50523788.23-P1P2++MLC1_+_50523799.23-P1P2|MLC1_+_50523788.23-P1P2	MLC1	1350	1801	1711	1670	2420	1762	2401	2392	2563	2004	2985	2721	4967	1118	1523	879
JAM3_+_133938996.23-P1P2|JAM3_-_133938981.23-P1P2++JAM3_+_133938996.23-P1P2|JAM3_-_133938981.23-P1P2	JAM3	1603	1844	2471	2138	2159	1967	3064	2145	2197	2350	2414	2218	5710	1462	1894	1828
FOSL1_-_65667817.23-P1P2|FOSL1_-_65667500.23-P1P2++FOSL1_-_65667817.23-P1P2|FOSL1_-_65667500.23-P1P2	FOSL1	1489	323	1500	1362	494	1800	1447	1049	694	590	562	471	2343	1290	1911	1472
MYO1C_-_1394895.23-P2|MYO1C_-_1394957.23-P2++MYO1C_-_1394895.23-P2|MYO1C_-_1394957.23-P2	MYO1C	1942	2478	2059	1863	2256	1559	2028	2530	2287	2456	2585	2580	4251	1582	1550	1920
C12orf71_-_27235263.23-ENST00000429849.2|C12orf71_-_27235144.23-ENST00000429849.2++C12orf71_-_27235263.23-ENST00000429849.2|C12orf71_-_27235144.23-ENST00000429849.2	C12orf71	1344	1507	2061	1687	1564	2279	2952	2434	1894	1933	2712	2001	5149	1040	1162	1720
S100A11_+_152009236.23-P1P2|S100A11_+_152009488.23-P1P2++S100A11_+_152009236.23-P1P2|S100A11_+_152009488.23-P1P2	S100A11	2063	1944	1903	1867	1814	1567	2119	2184	2285	2732	2810	2680	4092	1468	1417	1449
non-targeting_00811|non-targeting_01928++non-targeting_00811|non-targeting_01928	non-targeting	947	1205	1393	1082	1033	1390	1479	1564	1569	1306	1115	1300	3392	1031	900	1053
CYBRD1_-_172379048.23-P1P2|CYBRD1_-_172378997.23-P1P2++CYBRD1_-_172379048.23-P1P2|CYBRD1_-_172378997.23-P1P2	CYBRD1	1796	1885	1902	2238	2396	2481	2511	2205	2486	1884	3153	2624	5600	1373	1481	1686
non-targeting_02437|non-targeting_00925++non-targeting_02437|non-targeting_00925	non-targeting	1447	1828	1206	1442	2003	1365	2085	2255	1580	2221	2141	2493	4235	1138	1370	1109
SEC14L4_+_30901645.23-P1P2|SEC14L4_+_30901673.23-P1P2++SEC14L4_+_30901645.23-P1P2|SEC14L4_+_30901673.23-P1P2	SEC14L4	1298	1418	1785	1723	1589	1855	1675	1494	1559	1938	1960	2773	4085	1093	1149	1124
FSD1L_+_108210445.23-P1P2|FSD1L_-_108210345.23-P1P2++FSD1L_+_108210445.23-P1P2|FSD1L_-_108210345.23-P1P2	FSD1L	1771	2522	2311	2125	2993	3201	2820	3291	3294	3162	3679	3833	6520	1565	1768	2021
non-targeting_00817|non-targeting_02758++non-targeting_00817|non-targeting_02758	non-targeting	1038	1500	860	893	1853	998	1276	1442	1897	1600	1940	1789	4356	832	711	1052
SCN2B_-_118047358.23-P1P2|SCN2B_+_118047292.23-P1P2++SCN2B_-_118047358.23-P1P2|SCN2B_+_118047292.23-P1P2	SCN2B	1542	1314	1862	1618	2395	2208	2454	2461	2991	2572	3243	3035	6181	1286	1688	1311
ABCB9_-_123465699.23-P2|ABCB9_-_123465738.23-P2++ABCB9_-_123465699.23-P2|ABCB9_-_123465738.23-P2	ABCB9	1774	2035	2014	2541	2193	1944	2507	2705	2598	2678	2815	3268	5893	1641	1240	1750
TDGF1_-_46619550.23-P1P2|TDGF1_-_46619494.23-P1P2++TDGF1_-_46619550.23-P1P2|TDGF1_-_46619494.23-P1P2	TDGF1	1054	1135	911	1057	1691	1223	1474	1580	1904	1811	2394	1639	3314	1015	838	1386
TEAD3_-_35464797.23-P1P2|TEAD3_-_35464741.23-P1P2++TEAD3_-_35464797.23-P1P2|TEAD3_-_35464741.23-P1P2	TEAD3	1949	2450	1889	2173	2839	2068	3145	2827	2990	3181	3256	2935	4420	1554	2020	1691
MORC2_-_31364711.23-P1P2|MORC2_-_31364689.23-P1P2++MORC2_-_31364711.23-P1P2|MORC2_-_31364689.23-P1P2	MORC2	653	696	788	564	888	785	762	949	1282	1304	812	995	2136	674	661	612
SNTG2_-_946604.23-P1P2|SNTG2_-_946583.23-P1P2++SNTG2_-_946604.23-P1P2|SNTG2_-_946583.23-P1P2	SNTG2	4764	6330	4686	5386	8524	5884	7427	6753	8306	7705	8048	8345	14990	3906	3981	5319
ALDH3B1_+_67777809.23-P1P2|ALDH3B1_+_67777830.23-P1P2++ALDH3B1_+_67777809.23-P1P2|ALDH3B1_+_67777830.23-P1P2	ALDH3B1	1204	1441	874	1073	1459	1167	1632	1606	1689	1857	1806	1891	2977	1121	927	1122
non-targeting_02820|non-targeting_03728++non-targeting_02820|non-targeting_03728	non-targeting	951	732	998	810	824	1065	969	867	1017	1128	1000	905	2554	576	748	849
SAMD4B_+_39833586.23-P1P2|SAMD4B_-_39833151.23-P1P2++SAMD4B_+_39833586.23-P1P2|SAMD4B_-_39833151.23-P1P2	SAMD4B	2160	224	634	776	424	707	488	337	453	290	306	413	817	1814	2000	1826
ZNF596_+_182449.23-P1P2|ZNF596_-_182405.23-P1P2++ZNF596_+_182449.23-P1P2|ZNF596_-_182405.23-P1P2	ZNF596	1514	1425	1153	1125	2258	1507	1391	1974	1958	2310	2041	2353	3490	1117	1072	1308
MARVELD1_+_99473583.23-P1P2|MARVELD1_+_99473580.23-P1P2++MARVELD1_+_99473583.23-P1P2|MARVELD1_+_99473580.23-P1P2	MARVELD1	1313	1800	2019	2275	3131	2254	2589	2774	2827	2843	3188	3221	5576	1405	1285	1584
AMPD2_+_110163780.23-P2|AMPD2_-_110163800.23-P2++AMPD2_+_110163780.23-P2|AMPD2_-_110163800.23-P2	AMPD2	1350	1780	2109	1552	1859	1794	1597	1929	1690	1879	2631	2341	3701	1239	1196	1092
LTC4S_-_179221431.23-P1P2|LTC4S_-_179221076.23-P1P2++LTC4S_-_179221431.23-P1P2|LTC4S_-_179221076.23-P1P2	LTC4S	1181	72	960	888	112	1101	455	467	208	134	142	104	736	1213	1223	1445
CRYAB_-_111782452.23-P1|CRYAB_-_111782427.23-P1++CRYAB_-_111782452.23-P1|CRYAB_-_111782427.23-P1	CRYAB	985	1519	1290	1549	1729	1356	2292	1928	1975	1764	2517	2221	4808	1016	1303	1053
CARKD_+_111267944.23-P1P2|CARKD_+_111267952.23-P1P2++CARKD_+_111267944.23-P1P2|CARKD_+_111267952.23-P1P2	CARKD	1080	1851	1290	1378	2454	1206	1618	1470	1851	1983	1716	2603	3609	947	1208	853
LXN_+_158390491.23-P1P2|LXN_-_158390088.23-P1P2++LXN_+_158390491.23-P1P2|LXN_-_158390088.23-P1P2	LXN	1875	1734	1251	1019	2420	1524	1493	1578	2194	3074	3214	3305	2812	1416	1523	1651
PRODH_+_18905892.23-P2|PRODH_+_18905874.23-P2++PRODH_+_18905892.23-P2|PRODH_+_18905874.23-P2	PRODH	1994	2732	2596	2311	3293	2483	2745	3158	3987	4070	3702	4918	6953	1812	1529	2119
IGFL4_+_46544216.23-P1P2|IGFL4_-_46544248.23-P1P2++IGFL4_+_46544216.23-P1P2|IGFL4_-_46544248.23-P1P2	IGFL4	740	710	714	942	1174	1156	1123	1022	953	1414	1256	1338	2500	660	450	814
PSMB6_-_4699495.23-P1|PSMB6_-_4699534.23-P1++PSMB6_-_4699495.23-P1|PSMB6_-_4699534.23-P1	PSMB6	178	0	0	6	0	5	11	0	0	0	87	4	0	253	204	326
MESP1_+_90294029.23-P1P2|MESP1_-_90294072.23-P1P2++MESP1_+_90294029.23-P1P2|MESP1_-_90294072.23-P1P2	MESP1	1448	927	1533	2119	1405	2287	2417	2313	1073	1174	1620	1400	4937	1236	1152	1311
SERPINB11_+_61370204.23-P1P2|SERPINB11_+_61370561.23-P1P2++SERPINB11_+_61370204.23-P1P2|SERPINB11_+_61370561.23-P1P2	SERPINB11	900	886	743	886	1188	1903	1575	1401	1768	1578	1410	2044	4120	795	1034	1033
ACCS_+_44088091.23-P1P2|ACCS_-_44088090.23-P1P2++ACCS_+_44088091.23-P1P2|ACCS_-_44088090.23-P1P2	ACCS	914	996	907	1201	1199	1129	1403	1200	1250	1214	1378	1281	2580	752	632	685
C9orf139_-_139927668.23-P1P2|C9orf139_+_139927655.23-P1P2++C9orf139_-_139927668.23-P1P2|C9orf139_+_139927655.23-P1P2	C9orf139	654	1131	972	900	1055	1039	1324	1185	1107	1172	1604	1321	2987	557	607	834
CCDC102A_+_57570446.23-P1P2|CCDC102A_-_57570430.23-P1P2++CCDC102A_+_57570446.23-P1P2|CCDC102A_-_57570430.23-P1P2	CCDC102A	1197	2165	1437	1269	1956	1581	1961	1879	2074	2201	1860	2682	3753	1061	1261	1217
B3GNT7_+_232260465.23-P1P2|B3GNT7_+_232260509.23-P1P2++B3GNT7_+_232260465.23-P1P2|B3GNT7_+_232260509.23-P1P2	B3GNT7	1687	3019	2382	2423	3312	2587	3059	2940	3037	3399	3562	4717	5137	1589	1839	2363
RNF152_-_59560219.23-P1|RNF152_-_59560248.23-P1++RNF152_-_59560219.23-P1|RNF152_-_59560248.23-P1	RNF152	1040	1098	1016	1107	1400	1139	1264	1260	1636	1599	2066	2009	3462	728	775	723
CCDC42B_+_113587572.23-P1P2|CCDC42B_+_113587592.23-P1P2++CCDC42B_+_113587572.23-P1P2|CCDC42B_+_113587592.23-P1P2	CCDC42B	828	84	1137	1146	149	1262	754	815	152	216	191	148	1906	676	921	1359
SERPINA9_+_94942495.23-P1P2|SERPINA9_+_94942519.23-P1P2++SERPINA9_+_94942495.23-P1P2|SERPINA9_+_94942519.23-P1P2	SERPINA9	1132	1810	2112	1927	2049	1915	2048	2253	2412	2057	2367	2333	5701	1087	1357	1334
ITGAM_+_31271344.23-P1P2|ITGAM_-_31271498.23-P1P2++ITGAM_+_31271344.23-P1P2|ITGAM_-_31271498.23-P1P2	ITGAM	1218	1215	956	970	1916	1378	1634	1861	1820	1972	2215	2511	4229	839	866	966
KLHL3_+_137071752.23-P1P2|KLHL3_+_137071494.23-P1P2++KLHL3_+_137071752.23-P1P2|KLHL3_+_137071494.23-P1P2	KLHL3	559	608	746	658	608	964	880	1017	1039	1037	1049	1000	2798	391	569	798
LOC100129636_+_29003912.23-P1P2|LOC100129636_+_29003949.23-P1P2++LOC100129636_+_29003912.23-P1P2|LOC100129636_+_29003949.23-P1P2	LOC100129636	1075	1591	1071	1143	1624	1482	1432	1622	1618	1881	2230	2629	3714	1034	1152	1263
non-targeting_02484|non-targeting_03585++non-targeting_02484|non-targeting_03585	non-targeting	1614	1856	1885	1846	2455	2130	2287	2486	2675	3209	3592	2803	5257	1536	644	1360
MIOS_+_7606694.23-P1P2|MIOS_-_7606882.23-P1P2++MIOS_+_7606694.23-P1P2|MIOS_-_7606882.23-P1P2	MIOS	1736	320	1011	1490	476	1177	1104	1366	426	478	436	456	2939	1605	1617	1903
ENDOU_-_48119221.23-P1P2|ENDOU_-_48119226.23-P1P2++ENDOU_-_48119221.23-P1P2|ENDOU_-_48119226.23-P1P2	ENDOU	592	646	592	719	1090	1093	1191	1277	1150	871	1039	1160	2532	591	702	587
CDK18_+_205473806.23-P1P2|CDK18_+_205473874.23-P1P2++CDK18_+_205473806.23-P1P2|CDK18_+_205473874.23-P1P2	CDK18	2311	3237	3199	2526	3458	2971	3861	3652	3522	3670	4097	4140	6712	1869	1945	2116
TMEM87B_+_112813182.23-P1P2|TMEM87B_+_112812978.23-P1P2++TMEM87B_+_112813182.23-P1P2|TMEM87B_+_112812978.23-P1P2	TMEM87B	1419	1594	1416	1717	1992	2093	1561	2120	2402	2440	1918	2219	5194	1069	1463	1415
OR10P1_-_56030678.23-ENST00000309675.2|OR10P1_+_56030702.23-ENST00000309675.2++OR10P1_-_56030678.23-ENST00000309675.2|OR10P1_+_56030702.23-ENST00000309675.2	OR10P1	1388	1371	1090	1486	1901	1715	1941	1731	2232	2561	2146	2688	5453	982	1112	1054
BDH1_-_197300158.23-P2|BDH1_+_197300152.23-P2++BDH1_-_197300158.23-P2|BDH1_+_197300152.23-P2	BDH1	940	1150	760	1391	1240	1729	1310	1284	1156	1470	1584	1496	4394	702	869	982
PCDHA12_-_140255041.23-P1P2|PCDHA12_+_140255080.23-P1P2++PCDHA12_-_140255041.23-P1P2|PCDHA12_+_140255080.23-P1P2	PCDHA12	860	624	710	669	948	920	775	816	883	1107	1118	1249	1956	649	638	491
CD163_+_7656130.23-P1P2|CD163_+_7656287.23-P1P2++CD163_+_7656130.23-P1P2|CD163_+_7656287.23-P1P2	CD163	513	441	643	747	570	963	1237	877	968	1082	1117	1530	2299	472	655	403
TIGD5_+_144680493.23-P1P2|TIGD5_+_144680065.23-P1P2++TIGD5_+_144680493.23-P1P2|TIGD5_+_144680065.23-P1P2	TIGD5	1305	85	827	845	36	903	697	450	160	82	153	166	846	1040	1239	1348
CSAG3_-_151877270.23-ENST00000356911.4|CSAG3_-_151877469.23-ENST00000356911.4++CSAG3_-_151877270.23-ENST00000356911.4|CSAG3_-_151877469.23-ENST00000356911.4	CSAG3	1142	1496	1534	1788	2265	1667	1666	1908	2000	2457	2342	2475	4722	1039	1184	1076
PITPNM3_-_6459809.23-P1P2|PITPNM3_+_6459800.23-P1P2++PITPNM3_-_6459809.23-P1P2|PITPNM3_+_6459800.23-P1P2	PITPNM3	1294	2113	1305	1633	1657	1613	1730	1478	2044	2194	2596	2782	4217	1155	1041	1165
SFTPD_+_81708863.23-P1P2|SFTPD_-_81708778.23-P1P2++SFTPD_+_81708863.23-P1P2|SFTPD_-_81708778.23-P1P2	SFTPD	707	682	510	863	1089	998	999	1202	1378	1514	1501	1462	2511	503	627	598
EPHA1_+_143105889.23-P1P2|EPHA1_-_143105934.23-P1P2++EPHA1_+_143105889.23-P1P2|EPHA1_-_143105934.23-P1P2	EPHA1	2178	1673	2296	2373	2407	2762	2475	2494	2468	2401	2888	3261	6384	1726	1542	1691
FBXL12_-_9929714.23-P1P2|FBXL12_-_9929733.23-P1P2++FBXL12_-_9929714.23-P1P2|FBXL12_-_9929733.23-P1P2	FBXL12	1884	2424	2382	2236	3185	2727	3307	2751	2914	3408	3446	4275	7270	1808	2067	1985
ADAM32_+_38965299.23-P1P2|ADAM32_+_38965287.23-P1P2++ADAM32_+_38965299.23-P1P2|ADAM32_+_38965287.23-P1P2	ADAM32	3251	4095	3736	4221	5148	4627	5111	5406	5225	5399	6040	6161	10352	2523	3547	3209
PDLIM3_+_186456603.23-P1P2|PDLIM3_-_186456584.23-P1P2++PDLIM3_+_186456603.23-P1P2|PDLIM3_-_186456584.23-P1P2	PDLIM3	1581	1935	1372	1492	1483	1639	2119	2250	2017	2170	2583	2788	5074	1080	1179	1302
NIPAL4_+_156887259.23-P1P2|NIPAL4_-_156887247.23-P1P2++NIPAL4_+_156887259.23-P1P2|NIPAL4_-_156887247.23-P1P2	NIPAL4	4775	7846	6386	5591	8647	6291	8458	8114	9224	9295	11509	10745	18035	4341	4966	4720
PAIP2_-_138677633.23-P1P2|PAIP2_-_138677752.23-P1P2++PAIP2_-_138677633.23-P1P2|PAIP2_-_138677752.23-P1P2	PAIP2	1577	2072	1514	1585	2006	1988	2832	2231	2460	1926	2507	2987	5371	1160	1435	1566
ING1_-_111368229.23-P2|ING1_+_111368182.23-P2++ING1_-_111368229.23-P2|ING1_+_111368182.23-P2	ING1	1520	2206	1609	1675	2414	2279	2425	2545	2842	2376	2825	2968	5405	1217	1352	1541
