,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
FRMPD4,FRMPD4,-0.32159183410881614,0.12398259489157953,sensitivity_hit,0.9066392783304621,0.26970254778537583,0.044693384969750595,up_hit,1.3497567516718683
FRY,FRY,-0.26569443344158233,0.03379792082839291,sensitivity_hit,1.4711100157143493,-0.11061112878453343,0.9167267223459832,target_non_hit,0.037760108893990896
FTSJ1,FTSJ1,-0.16492842726916024,0.004174834471465286,sensitivity_hit,2.3793607392353144,0.026747470256736367,0.4554916298639998,target_non_hit,0.34151959923385206
FUT10,FUT10,-0.4056966278171468,0.018881780141305267,sensitivity_hit,1.7239570635813175,0.3224766481903109,0.14356780336551986,up_hit,0.8429429444145601
FXYD6,FXYD6,0.23302090251784216,0.07526669029008408,resistance_hit,1.123397180821791,-0.21521621662666668,0.19116251364935408,target_non_hit,0.7185972674540968
FZD10,FZD10,-0.2763886549491958,0.043728691145070976,sensitivity_hit,1.3592335214427052,0.07462998311071682,0.3188093686182182,target_non_hit,0.4964689247934532
FZD4,FZD4,-0.20858732801918092,0.016988761055111122,sensitivity_hit,1.7698382919107092,0.14028011514257224,0.009374145236543854,up_hit,2.028068322104379
FZD9,FZD9,-0.19624839826108223,0.018515819846947272,sensitivity_hit,1.7324570534161938,0.06289336027551092,0.1986612712969277,target_non_hit,0.7018867896662916
GABPB1,GABPB1,0.24205692363141917,0.07524029342032411,resistance_hit,1.123549519466965,-0.07615879838198551,0.5681716054412109,target_non_hit,0.24552047407723446
GABRA1,GABRA1,0.12247260173516435,0.006247251919603835,resistance_hit,2.2043109808335712,-0.019002176499653228,0.4799213230173885,target_non_hit,0.31882995383281326
GADD45B,GADD45B,0.24118619443973177,0.014908608611764079,resistance_hit,1.8265628864215782,-0.2280554842428275,0.0033313531497689217,essential_hit,2.4773793262201496
GADD45GIP1,GADD45GIP1,-0.38057453298715266,0.10067359382217293,sensitivity_hit,0.997084427770055,0.051726227518816024,0.7476569694354745,target_non_hit,0.12629761396947398
GAL3ST1,GAL3ST1,0.22229968658015084,0.002344748546724909,resistance_hit,2.6299037246440946,-0.0003035320224326436,0.9461939573189564,target_non_hit,0.024019829814628434
GALNT13,GALNT13,-0.19582331791823648,0.04487999481782884,sensitivity_hit,1.3479472018986969,0.261962624719704,0.06236093017170538,up_hit,1.205087415525754
GALNTL5,GALNTL5,0.15866688305106477,0.005828315803598894,resistance_hit,2.2344569242931667,-0.06426239211098721,0.80511651527848,target_non_hit,0.09414126462491994
GARS,GARS,0.2848996796837338,0.05379945659620811,resistance_hit,1.2692221109220887,-0.25518742182315773,0.2761604241125511,target_non_hit,0.5588385589979116
GBA,GBA,-0.312702945769594,0.06732672737311778,sensitivity_hit,1.1718124952652893,-0.040841646678074994,0.7418426045215258,target_non_hit,0.12968822846592123
GCSAM,GCSAM,-0.4609059019049697,0.10292987224712746,sensitivity_hit,0.9874585662545928,0.12984563200359714,0.17739666538829163,target_non_hit,0.7510545480729252
GDPD2,GDPD2,-0.2593750931340833,0.10314179111921125,sensitivity_hit,0.9865653310790449,0.04202656789428971,0.691250441386182,target_non_hit,0.16036457837582108
GFI1B,GFI1B,0.3025831128332017,0.13665160643072635,resistance_hit,0.8643852585201734,-0.21148825762452272,0.018790699546343805,essential_hit,1.726057051540681
GIMAP5,GIMAP5,-0.2522656487030647,0.013448552079340698,sensitivity_hit,1.8713244708884955,0.24279435565976026,0.1647438304035441,target_non_hit,0.7831908405996122
GIP,GIP,-0.21646720986512,0.0037948302833454637,sensitivity_hit,2.4208076423389175,0.15971933312950437,0.24326393914350833,target_non_hit,0.6139222650589321
GJA9,GJA9,0.3295308335989325,0.15345953810939086,resistance_hit,0.8140061132957492,-0.20069798676230377,0.34305149647619365,target_non_hit,0.46464068183258367
GLDC,GLDC,-0.2717016398735703,0.006283743773244838,sensitivity_hit,2.2017815321194276,0.13837470698495272,0.019181792579901446,target_non_hit,1.7171108095124965
GLT6D1,GLT6D1,-0.3247944360960598,0.12230533879749973,sensitivity_hit,0.9125545849940652,0.24158934275599897,0.048767655697163265,up_hit,1.311868120813117
GLTP,GLTP,-0.26112906078566195,0.10002200560443239,sensitivity_hit,0.9999044413879802,0.08640768720918086,0.3898703116177479,target_non_hit,0.4090798348081474
GLYAT,GLYAT,-0.2330791990224661,0.013101338993462249,sensitivity_hit,1.8826843159660227,0.20006499846660444,0.012102462204824962,up_hit,1.9171262649573964
GMCL1,GMCL1,0.2635915197051766,0.016352667293801925,resistance_hit,1.7864113991809603,-0.06384348171521055,0.3238388256340338,target_non_hit,0.48967108409474136
